
864748,549835,Gin Tonic,Easy,Beverage,Place ice cubes in tumbler glasses. Pour the gin evenly into each glass (4 cl per person)# then add the tonic (8 cl per person).Decorate glasses with a slice of lemon,1
864748,377382,Tequila Sunrise,Easy,Beverage,Pour the tequila into the glass over ice cubes. Top up with orange juice and stir. Slowly pour the grenadine syrup into the glass so that it sinks to the bottom. Use a spoon to refine the gradation if necessary.,1
864748,345369,Mojito,Hard,Beverage,Put your ice cubes in a tea towel# close it and then# using a rolling pin# crush the ice.Pour the mint leaves into each glassCoupez le citron en deux puis chaque demi citron en 6 morceaux.Add the 6 lemon pieces to each glass (1/2 lemon).Add the cane sugar syrup.Crush the lemon with a cocktail masher. It is important that the mint is at the bottom of the glass so that it is protected by both the cane sugar syrup and the lemon pieces.Add the crushed ice# leaving 2 cm freeAdd the rum.Top up with sparkling water.,1
864748,583251,Margarita,Medium,Beverage,Shake ingredients with ice cubes# then pour into glass frosted with lemon and fine salt... To frost the glass easily# run the lemon around the edge of the glass and dip the rim in the salt.Serve in a margarita glass.,1
864748,696543,Blue Lagoon,Medium,Beverage,Squeeze the juice of half a lemon# add to the shaker with the other ingredients and ice cubes. Shake# then pour through a strainer into the glass. To make it fresher and lighter# fill the glass with crushed ice beforehand.Serve in a martini glass.,1
864748,255991,Pina Colada,Medium,Beverage,pour in all the ingredients# add 5 or 6 ice cubes and blend,1
864748,312802,Gin Fizz,Medium,Beverage,Hit the gin# lemon juice and sugar with ice cubes# pour the entire contents of the shaker into the glass and top up with chilled sparkling water.Serve in a tumbler-type glass.,1
864748,363639,Bloody Mary,Medium,Beverage,Shake ingredients in a mixing glass with ice cubes (to cool without diluting too much). Pour into the glass# then add celery salt# salt and pepper to taste. Garnish with a stalk of celery and# optionally# a slice of lemon. Serve in a tumbler-type glass.,1
784596,667904,Planter's Punch,Medium,Beverage,Shake the rum# orange juice# pineapple juice# lemon juice and grenadine syrup with a few ice cubes.Pour into glass# straining remaining ice into shaker,1
784596,954666,Americano,Easy,Beverage,Pour in the campari# red vermouth and sparkling water.Stir gently with a mixing spoon,1
784596,950854,Moscow Mule,Easy,Beverage,Pour 60 ml vodka and 15 ml lime juice into each glass# then top up with ginger beer. Stir lightly and garnish with a slice of lime and a sprig of fresh mint.,1
784596,258856,Sex on the beach,Medium,Beverage,Pour the spirits over ice cubes# stir and top up with the fruit juices.Serve in a tulip-shaped glass.,1
784596,639076,Expresso Martini ,Medium,Beverage,Shake the vodka# kahlua coffee liqueur# coffee and sugar syrup in a shaker with a few ice cubes.Pour into a cocktail glass# straining the ice.,1
784596,224354,Spritz,Easy,Beverage,Start with Aperol# add Prosecco and finish with sparkling water.Place an orange slice in each glass.,1
784596,404197,Sangria,Easy,Aperitif,Wash and dry the citrus fruit. Cut them into thin slices# then cut into pieces without tearing the pulp. Split and scrape the vanilla pod.Pour the red wine# Cointreau and orange juice into a pretty jug. Garnish with vanilla and cinnamon# and sprinkle with powdered sugar.Add lemon and orange segments. Stir gently with a ladle. Chill for at least 2 h to allow the fruit to macerate in the wine.Just before serving# pour the chilled lemonade into the sangria.,1
784596,741814,Rusty Nail,Easy,Beverage,Add whisky# then Drambuie liqueur.Flute and insert a long lemon peel.,1
