
1,Vodka,0
2,Citron,0
3,Curacao,0
4,Kiwi,0
5,Huile de moteur,0
6,La jambe de nathan,0
7,Hello,0
8,World,0
9,Gin,0
10,Schweppes tonic,0
11,Lemon,0
12,Tequila,0
13,Orange juice,0
14,Grenadine sirup,0
15,White rhum,0
16,Mint leaf,0
17,Sparkling water,0
18,Cane sugar syrup,0
19,Green lemon,0
20,Cointrau,0
21,Green lemon juice,0
22,Curaçao,0
23,Lemon juice,0
24,Amber rum,0
25,Pineapple juice,0
26,Coconut milk,0
27,Tomato juice,0
28,Sauce worcestershire,0
29,Tabasco,0
30,Céleri salt,0
31,Salt,0
32,Pepper,0
33,Amber rhum,0
34,Campari,0
35,Red vermouth,0
36,Cointreau,0
37,Orgeat sirup,0
38,Ginger beer,0
39,Melon sirup,0
40,Chambord,0
41,Cramberry juice,0
42,Kahlua,0
43,Coffee,0
44,Apérol,0
45,Prosecco,0
46,Orange slices,0
47,Bottle of red wine,0
48,Limonade,0
49,Orange,0
50,Sugar,0
51,Canelle,0
52,Vanilla bean,0
53,Whisky,0
54,Drambuie,0
55,Cream,0
56,Cacao,0
57,Liqueur galliano,0
58,Cubain rhum,0
59,Cola,0
60,White wine,0
61,Cassis sirup,0
62,Cognac,0
63,Martini,0
64,Coffee liqueur,0
65,Cherry liqueur,0
66,Benedictine,0
67,Angostura bitters,0
68,White vermouth,0
69,Dubonnet,0
70,Apricot liqueur,0
71,Amaretto,0
72,Mint cream,0
73,Mashed peach,0
74,Cane sugar sirup,0
75,Champagne,0
76,Cane suger sirop,0
77,Cachaça,0
78,Suger,0
79,Lime cordial,0
80,Pamplemousse juice,0
81,Egg yolk,0
82,Watermelon,0
83,Patience,0
84,Vin,0
85,Sucre,0
86,Chaleur,0
87,Jkjlh,0
88,Kljh,0
89,Up,0
90,Io,0
91,Ty,0
92,Ohg,0
93,Iop,0
94,Lkh,0
95,Pas de copine,0
96,Calvicie,0
97,Oh,0
98,Hamburger,0
99,Sauce mayo,0
100,Champi hallucinogènes,0
101,Viande kebab,0
102,Eau,0
103,Jus de citron,0
